year,month,temp_mean
1981,01,17.71290322580645
1981,02,17.678571428571427
1981,03,13.5
1981,04,12.356666666666667
1981,05,9.490322580645161
1981,06,7.306666666666667
1981,07,7.577419354838709
1981,08,7.2387096774193544
1981,09,10.143333333333333
1981,10,10.087096774193549
1981,11,11.89
1981,12,13.680645161290322
1982,01,16.56774193548387
1982,02,15.92142857142857
1982,03,14.935483870967742
1982,04,11.47
1982,05,9.583870967741936
1982,06,5.6066666666666665
1982,07,4.641935483870967
1982,08,7.903225806451613
1982,09,7.28
1982,10,9.54516129032258
1982,11,12.486666666666666
1982,12,13.75483870967742
1983,01,13.180645161290322
1983,02,16.807142857142857
1983,03,15.77741935483871
1983,04,10.596666666666666
1983,05,10.116129032258064
1983,06,6.6
1983,07,6.890322580645162
1983,08,8.706451612903226
1983,09,9.209999999999999
1983,10,10.312903225806451
1983,11,11.993333333333334
1983,12,14.396774193548387
1984,01,14.30967741935484
1984,02,14.944827586206896
1984,03,12.86774193548387
1984,04,10.75
1984,05,8.112903225806452
1984,06,7.73
1984,07,5.987096774193549
1984,08,8.696774193548388
1984,09,8.046666666666667
1984,10,10.63225806451613
1984,11,12.623333333333333
1984,12,12.643333333333333
1985,01,14.219354838709677
1985,02,14.032142857142857
1985,03,15.87741935483871
1985,04,12.976666666666667
1985,05,9.419354838709678
1985,06,7.073333333333333
1985,07,6.135483870967742
1985,08,7.635483870967742
1985,09,8.803333333333333
1985,10,10.490322580645161
1985,11,13.073333333333334
1985,12,14.109677419354838
1986,01,13.825806451612904
1986,02,14.196428571428571
1986,03,14.69032258064516
1986,04,11.653333333333334
1986,05,10.274193548387096
1986,06,7.526666666666666
1986,07,6.961290322580645
1986,08,7.387096774193548
1986,09,8.933333333333334
1986,10,9.683870967741935
1986,11,11.793333333333333
1986,12,12.935483870967742
1987,01,13.235483870967743
1987,02,13.889285714285714
1987,03,12.619354838709677
1987,04,12.25
1987,05,9.806451612903226
1987,06,8.273333333333333
1987,07,5.983870967741936
1987,08,8.022580645161291
1987,09,9.81
1987,10,10.238709677419354
1987,11,13.15
1987,12,13.254838709677419
1988,01,16.493548387096773
1988,02,14.524137931034483
1988,03,14.748387096774193
1988,04,12.833333333333334
1988,05,11.387096774193548
1988,06,8.386666666666667
1988,07,8.23225806451613
1988,08,8.725806451612904
1988,09,9.883333333333333
1988,10,10.890322580645162
1988,11,12.253333333333334
1988,12,15.436666666666667
1989,01,15.180645161290322
1989,02,16.37142857142857
1989,03,15.803225806451612
1989,04,12.563333333333333
1989,05,10.725806451612904
1989,06,6.56
1989,07,6.332258064516129
1989,08,6.7709677419354835
1989,09,8.486666666666666
1989,10,9.86774193548387
1989,11,12.876666666666667
1989,12,13.951612903225806
1990,01,15.57741935483871
1990,02,15.417857142857143
1990,03,14.835483870967742
1990,04,13.433333333333334
1990,05,9.748387096774193
1990,06,7.72
1990,07,8.183870967741935
1990,08,7.825806451612904
1990,09,9.166666666666666
1990,10,11.345161290322581
1990,11,12.656666666666666
1990,12,14.36774193548387
